id,status_group
50785,functional needs repair
51630,functional
17168,functional
45559,functional needs repair
49871,non functional
52449,non functional
24806,non functional
28965,non functional
36301,functional needs repair
54122,functional needs repair
419,non functional
45750,functional needs repair
653,functional
14017,functional
44607,non functional
40228,functional needs repair
27714,functional
28785,functional needs repair
28330,functional needs repair
18532,non functional
69961,non functional
55083,functional
8691,non functional
30331,functional
70970,non functional
61136,functional needs repair
28799,functional
46825,functional needs repair
44718,functional needs repair
37350,functional needs repair
65738,functional needs repair
3271,functional
42658,functional needs repair
67523,functional needs repair
37034,functional
42432,functional needs repair
27420,functional
707,non functional
48489,non functional
51008,functional
72562,functional
10275,functional needs repair
53540,non functional
43291,functional
8813,non functional
62343,functional needs repair
1649,functional needs repair
8822,functional needs repair
10352,functional needs repair
50878,non functional
15266,functional needs repair
51956,non functional
44099,functional
59,functional needs repair
51359,functional
15962,functional
17853,non functional
42040,non functional
72243,functional needs repair
63653,functional
26510,non functional
72053,functional
29351,non functional
51897,functional
20376,non functional
26804,non functional
67303,non functional
69780,functional
45374,functional needs repair
54665,functional needs repair
39341,functional needs repair
8869,functional needs repair
20691,functional
19693,functional
14321,functional
63059,functional needs repair
67403,non functional
28912,functional needs repair
12549,non functional
24328,non functional
13750,non functional
1574,non functional
44149,functional
53917,functional
22705,non functional
66465,non functional
15644,non functional
20773,functional needs repair
33092,functional needs repair
54392,functional
37850,non functional
5576,functional
60840,functional needs repair
9971,functional
57508,non functional
25872,non functional
43978,functional needs repair
38181,non functional
24325,non functional
2724,non functional
34794,functional
56525,functional needs repair
63155,non functional
67247,functional needs repair
23387,functional needs repair
17873,functional
18197,non functional
24834,non functional
4091,functional needs repair
33261,non functional
44384,non functional
62096,non functional
64554,non functional
68314,functional
53,functional needs repair
23426,functional needs repair
38259,functional
16631,non functional
43162,functional
44492,functional needs repair
38884,functional needs repair
13690,non functional
60335,functional
31856,non functional
67891,non functional
25564,non functional
55293,functional
31866,functional needs repair
71178,functional needs repair
60279,non functional
28615,functional needs repair
8744,functional
48308,functional needs repair
49626,functional needs repair
38098,functional
30309,functional needs repair
8015,functional needs repair
3496,functional
56971,functional needs repair
68616,non functional
8646,functional needs repair
74104,functional
37501,functional needs repair
33001,functional needs repair
69202,functional
68409,non functional
