id,amount_tsh,funder,gps_height,installer,longitude,latitude,basin,region,district_code,lga,population,scheme_management,extraction_type,management,payment_type,water_quality,quantity,source,waterpoint_type,operational_year,status_group
0,27,1634,1129,1713,13266,28993,3,19,3,124,197,7,0,7,6,3,1,7,4,17,2
1,34,1501,2056,1576,26432,7686,6,3,4,91,19,12,12,7,2,6,1,7,4,9,0
2,27,838,1129,930,35413,24830,8,2,4,11,197,7,7,7,5,6,2,3,2,20,0
3,8,436,1717,201,42515,47836,5,6,5,16,24,10,3,9,5,6,1,8,1,21,0
4,27,211,1129,228,35678,25765,8,2,4,11,197,7,8,7,6,6,0,7,4,20,2
5,18,1271,90,1406,55522,20897,8,14,13,69,1034,4,14,4,5,6,1,3,2,9,0
6,34,456,1426,571,13989,38645,0,17,3,104,466,7,9,7,2,6,3,7,6,13,2
7,27,1830,1129,568,36097,22684,6,2,1,76,197,7,9,7,2,3,2,8,5,14,0
8,27,1830,1129,297,34601,26173,8,2,5,14,197,7,7,4,5,6,0,3,2,18,2
9,27,279,1129,360,7102,52263,4,4,8,12,197,7,7,7,2,6,2,3,2,12,2
11,14,760,129,1081,51033,26708,5,20,5,95,149,4,14,4,5,4,2,3,1,10,2
12,12,1866,1407,2046,38919,43120,5,0,7,65,343,8,3,10,6,6,2,5,1,9,2
15,27,513,1279,390,14679,57516,4,13,2,54,426,12,9,7,2,6,3,7,6,25,2
16,44,1545,1085,390,30334,3670,1,16,2,111,426,7,3,7,3,6,0,8,1,38,2
17,14,1866,1684,390,37255,45856,5,0,2,0,197,7,3,7,2,6,1,8,1,9,0
18,27,1830,1129,297,36873,25274,8,2,3,43,197,7,7,7,5,4,1,3,2,15,0
19,18,62,295,96,56854,3081,7,12,1,77,426,7,7,7,5,6,1,3,2,7,0
20,27,1203,1332,1330,849,33923,3,5,2,28,333,11,3,9,1,6,1,6,2,21,1
21,27,456,1129,534,35882,26152,8,2,4,11,197,7,7,7,6,6,0,3,2,20,2
22,18,1196,142,2116,54064,20782,8,1,2,20,247,4,9,4,5,5,1,3,1,9,0
23,25,580,573,710,40417,20516,8,11,1,36,149,7,9,7,2,6,1,7,6,39,2
24,43,1372,278,390,51720,28996,5,20,3,80,80,7,3,7,2,6,3,8,1,19,2
25,39,456,1423,390,2836,38391,3,5,1,30,227,7,8,7,6,6,3,7,4,18,2
26,34,1644,1020,1722,29626,544,7,16,3,61,106,7,3,7,6,6,2,8,1,12,0
27,34,456,1035,1472,29512,2470,7,16,3,61,60,7,3,7,6,6,0,8,1,45,2
28,27,1196,1129,2116,17463,7695,1,10,4,100,197,7,3,7,2,6,1,8,1,20,0
30,11,727,2198,807,35918,50131,0,0,6,50,247,7,3,7,3,6,2,6,1,9,0
31,43,261,646,337,43190,853,7,16,1,120,0,7,3,7,0,6,1,6,1,22,2
33,34,1868,1426,2048,8650,40957,3,17,5,9,466,9,8,11,6,6,1,7,4,13,0
34,34,106,1426,136,10207,38445,4,17,3,25,466,12,9,4,6,6,2,7,6,14,2
35,18,389,403,483,50866,1569,7,12,17,87,96,7,9,7,2,0,3,7,6,46,2
36,23,418,397,496,51828,3049,7,12,12,57,900,7,7,0,5,4,1,3,2,47,0
38,8,983,1477,1164,32207,41653,0,0,11,27,552,7,3,7,5,6,3,6,1,38,0
39,44,446,1512,386,42839,26198,8,20,1,33,296,7,15,7,0,4,2,7,4,23,0
40,34,408,1714,929,45669,20322,8,11,6,83,518,7,3,7,2,6,1,6,1,13,0
41,18,0,64,1,55284,21418,8,1,2,20,197,4,14,4,5,6,1,3,1,9,0
42,11,456,882,571,47015,37448,5,6,3,101,590,11,14,8,5,6,2,3,1,22,0
43,27,456,1399,1474,12027,53504,4,13,1,121,343,7,9,7,2,6,2,2,2,38,2
44,18,302,591,630,48706,27802,5,20,6,18,623,7,14,7,5,6,1,6,1,40,0
45,34,588,907,390,218,31135,3,5,3,31,384,9,9,7,6,4,1,3,6,30,2
46,27,1853,1129,1960,35642,25510,8,2,4,11,197,7,8,7,2,6,2,7,4,20,0
48,43,727,1785,297,22120,7354,1,3,3,55,35,7,3,7,0,6,1,8,1,14,0
49,5,456,1656,390,44419,45512,5,6,4,73,70,7,3,7,6,6,1,8,1,10,0
50,27,800,1279,603,13205,57516,4,13,6,15,426,7,8,7,1,6,2,7,4,23,0
51,34,456,1283,390,50306,30907,5,20,1,52,0,7,3,7,2,6,1,8,1,51,2
52,25,1742,917,571,28006,3368,1,16,3,61,80,7,3,7,1,6,1,8,1,18,0
54,25,513,1595,645,24420,54492,4,9,2,103,426,9,12,11,2,6,1,7,4,23,2
55,29,436,1410,201,42926,47037,5,6,5,16,24,10,3,9,4,6,1,8,1,26,0
56,34,1868,1426,2048,15881,48440,4,17,2,58,466,9,3,11,2,6,3,5,1,14,1
60,27,1868,1129,312,11413,37208,3,19,1,94,197,9,8,11,3,6,1,7,4,15,0
62,27,456,1129,390,14011,12135,2,10,2,60,197,7,14,11,1,4,2,3,1,18,0
63,27,513,1129,603,3164,52074,4,4,11,89,197,7,3,7,2,6,0,8,1,15,2
64,12,456,1158,299,41282,45181,5,0,7,65,370,7,3,7,6,6,2,8,1,17,0
65,34,1644,1302,299,40671,43494,5,0,7,65,139,7,3,7,3,6,3,6,1,11,0
66,14,384,393,1284,53333,4204,7,7,14,98,257,7,14,7,5,6,1,7,1,22,2
67,27,1579,1279,1644,9167,52561,4,13,5,102,426,7,8,7,2,6,1,7,4,23,0
68,18,877,738,1086,55445,2894,7,12,12,88,458,7,14,7,5,6,1,3,1,38,2
69,47,979,950,390,32790,1842,7,16,2,111,426,7,3,7,0,6,1,6,1,18,0
70,27,727,1129,807,11466,9633,2,10,6,62,197,7,8,7,3,6,2,7,4,18,2
71,48,64,1933,97,33124,16570,6,3,7,34,0,7,3,7,2,6,1,6,1,9,2
73,18,396,273,505,56926,2110,7,12,4,116,466,10,14,7,2,6,0,3,2,40,2
74,34,456,1426,571,13658,38253,0,17,3,104,466,7,17,7,2,6,2,3,1,13,2
75,34,1742,1474,390,24055,12468,6,3,4,91,19,8,3,10,3,6,0,6,6,42,2
76,25,469,1471,545,22997,53776,4,9,2,103,534,2,3,1,2,6,2,5,1,8,0
77,18,0,137,1,54024,20655,8,1,2,20,247,9,14,11,2,5,1,3,1,9,0
78,53,261,471,337,46981,438,7,16,1,120,0,7,15,7,0,4,2,3,4,22,0
